Type;Author Name;Album Name;Song Name;Punteggio;Analizzata;Recomended;Loreto;Buona;Soft;Vivace;Molto Viv;Camera;Car;Lenta;Country;Strumentale;Classica;Lirica;Live;Discreta;Undefined;Avoid it;Confusionaria;Song Size
Classica;Bach Johann Sebastian;I Maestri della Musica I-11;05-Concerto di Brandenburgo N 2 in FA+ - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.729.152
Classica;Bach Johann Sebastian;I Maestri della Musica I-11;06-Concerto di Brandenburgo N 2 in FA+ - Andante;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 5.697.536
Classica;Bach Johann Sebastian;I Maestri della Musica I-11;07-Concerto di Brandenburgo N 2 in FA+ - Allegro assai;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.218.880
Classica;Bach Johann Sebastian;I Maestri della Musica I-11;08-Concerto di Brandenburgo N 3 in SOL+ - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 8.572.928
Classica;Bach Johann Sebastian;I Maestri della Musica I-11;09-Concerto di Brandenburgo N 3 in SOL+ - Adagio;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 454.656
Classica;Bach Johann Sebastian;I Maestri della Musica I-11;10-Concerto di Brandenburgo N 3 in SOL+ - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.829.184
Classica;Bach Johann Sebastian;I Maestri della Musica I-12;01-Concerto Brandeburghese N.4 SOL+ - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 9.641.984
Classica;Bach Johann Sebastian;I Maestri della Musica I-12;02-Concerto Brandeburghese N.4 SOL+ - Andante;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.780.032
Classica;Bach Johann Sebastian;I Maestri della Musica I-12;03-Concerto Brandeburghese N.4 SOL+ - Presto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.356.416
Classica;Bach Johann Sebastian;I Maestri della Musica I-12;04-Concerto Brandeburghese N.5 RE+ - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 12.652.544
Classica;Bach Johann Sebastian;I Maestri della Musica I-12;05-Concerto Brandeburghese N.5 RE+ - Affettuoso;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.507.968
Classica;Bach Johann Sebastian;I Maestri della Musica I-12;06-Concerto Brandeburghese N.5 RE+ - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 6.893.568
Classica;Bach Johann Sebastian;I Maestri della Musica I-12;07-Concerto Brandeburghese N.5 SIb+ - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 9.945.088
Classica;Bach Johann Sebastian;I Maestri della Musica I-12;08-Concerto Brandeburghese N.5 SIb+ - Adagio ma non tanto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.996.168
Classica;Bach Johann Sebastian;I Maestri della Musica I-12;09-Concerto Brandeburghese N.5 SIb+ - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 8.318.976
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;01-Overture N 1 in DO+ - Ouverture;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 15.937.536
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;02-Overture N 1 in DO+ - Corrente;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 2.834.864
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;03-Overture N 1 in DO+ - Gavotta;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.707.300
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;04-Overture N 1 in DO+ - Forlana;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 2.064.384
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;05-Overture N 1 in DO+ - Minuetto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.313.664
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;06-Overture N 1 in DO+ - Bourrée;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.100.672
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;07-Overture N 1 in DO+ - Passepied;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.420.160
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;08-Overture N 2 in SIm - Ouverture;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 17.560.391
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;09-Overture N 2 in SIm - Rondò;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 2.289.664
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;10-Overture N 2 in SIm - Sarabanda;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.826.488
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;11-Overture N 2 in SIm - Bourrée;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 2.666.496
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;12-Overture N 2 in SIm - Polacca;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.624.960
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;13-Overture N 2 in SIm - Minuetto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 1.380.352
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;14-Overture N 2 in SIm - Badinerie;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 1.937.408
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;15-Overture N 3 in RE+ - Ouverture;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 17.072.128
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;16-Overture N 3 in RE+ - Aria;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.680.000
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;17-Overture N 3 in RE+ - Gavotta;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 5.087.232
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;18-Overture N 3 in RE+ - Bourrée;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 1.744.896
Classica;Bach Johann Sebastian;I Maestri della Musica I-13;19-Overture N 3 in RE+ - Giga;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.493.889
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;01-Partita n. 2 in REm per Violino solo;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 21.663.744
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;02-Suite per violoncello solo n.1 in SOL+;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 2.805.760
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;03-Suite per violoncello solo n.1 in SOL+  - Allemanda;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 5.726.208
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;04-Suite per violoncello solo n.1 in SOL+  - Corrente;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.350.528
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;05-Suite per violoncello solo n.1 in SOL+  - Sarabanda;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.710.976
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;06-Suite per violoncello solo n.1 in SOL+ Minuetto I_II;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.661.248
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;07-Suite per violoncello solo n.1 in SOL+  - Giga;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 2.232.320
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;08-Sonata per flauto e clavicembalo n.1 in SIm - Andante;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 10.473.472
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;09-Sonata per flauto e clavicembalo n.1 in SIm - Largo e dolce;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.997.527
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;10-Sonata per flauto e clavicembalo n.1 in SIm - Presto. Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 8.720.384
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;11-Sonata per flauto e clavicembalo n. 3 in LA+ - Largo e dolce;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.231.168
Classica;Bach Johann Sebastian;I Maestri della Musica I-14;12-Sonata per flauto e clavicembalo n. 3 in LA+ - allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 6.012.928
Classica;Bach Johann Sebastian;I Maestri della Musica I-15;01-Concerto per flauto, violino, Clavicembalo ed Archi in LAm;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 11.747.328
Classica;Bach Johann Sebastian;I Maestri della Musica I-15;02-Concerto per flauto, violino, Clavicembalo ed Archi in LAm;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.622.656
Classica;Bach Johann Sebastian;I Maestri della Musica I-15;03-Concerto per flauto, violino, Clavicembalo ed Archi in LAm;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 9.949.184
Classica;Bach Johann Sebastian;I Maestri della Musica I-15;04-Concerto per Clavicembalo ed Archi No.1 in REm;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 13.635.584
Classica;Bach Johann Sebastian;I Maestri della Musica I-15;05-Concerto per Clavicembalo ed Archi No.1 in REm;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 12.537.856
Classica;Bach Johann Sebastian;I Maestri della Musica I-15;06-Concerto per Clavicembalo ed Archi No.1 in REm;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 13.558.189
Classica;Bach Johann Sebastian;I Maestri della Musica I-15;07-Concerto per violino,Oboe, Archi Et Basse Continue in REm II;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.208.960
Classica;Bach Johann Sebastian;I Maestri della Musica I-15;08-Concerto per violino,Oboe, Archi Et Basse Continue in REm II;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.672.814
Classica;Bach Johann Sebastian;I Maestri della Musica I-15;09-Concerto per violino,Oboe, Archi Et Basse Continue in REm II;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 5.451.776
Classica;Bach Johann Sebastian;I Maestri della Musica I-16;01-Toccata et fugue in REm;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 12.055.282
Classica;Bach Johann Sebastian;I Maestri della Musica I-16;02-Prélude et fugue in DOm;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 18.870.272
Classica;Bach Johann Sebastian;I Maestri della Musica I-16;03-Choral - Herzlich tut mich verlangen;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.829.760
Classica;Bach Johann Sebastian;I Maestri della Musica I-16;04-Prélude et fugue in MIm;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 17.137.664
Classica;Bach Johann Sebastian;I Maestri della Musica I-16;05-Choral -Wir glauben all an einen gott;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.506.176
Classica;Bach Johann Sebastian;I Maestri della Musica I-16;06-Choral -Vater unser im Himmelreich;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.072.000
Classica;Bach Johann Sebastian;I Maestri della Musica I-16;07-Variaciones canónicas;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 18.145.904
Classica;Bach Johann Sebastian;I Maestri della Musica I-17;01-Concerto per Viola, cuerda e continuo in la menor - (Allegro);385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 5.619.712
Classica;Bach Johann Sebastian;I Maestri della Musica I-17;02-Concerto per Viola, cuerda e continuo in la menor - Andante;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 8.036.352
Classica;Bach Johann Sebastian;I Maestri della Musica I-17;03-Concerto per Viola, cuerda e continuo in la menor - Allegro assai;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 5.451.776
Classica;Bach Johann Sebastian;I Maestri della Musica I-17;04-Concerto per Viola, cuerda e continuo in MI+ - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 11.382.784
Classica;Bach Johann Sebastian;I Maestri della Musica I-17;05-Concerto per Viola, cuerda e continuo in MI+ - Adagio;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 9.097.216
Classica;Bach Johann Sebastian;I Maestri della Musica I-17;06-Concerto per Viola, cuerda e continuo in MI+ - Allegro assai;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.952.640
Classica;Bach Johann Sebastian;I Maestri della Musica I-17;07-Concerto per 2 violines, cuerda e continuo in re menor - Vivace;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 5.595.136
Classica;Bach Johann Sebastian;I Maestri della Musica I-17;08-Concerto per 2 violines, cuerda e continuo in re menor - Largo;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 9.453.568
Classica;Bach Johann Sebastian;I Maestri della Musica I-17;09-Concerto per 2 violines, cuerda e continuo in re menor - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.139.833
Classica;Bartok Bela;I Maestri della Musica III-20;01-Il Mandarino meraviglioso, suite Op.19;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 24.462.593
Classica;Bartok Bela;I Maestri della Musica III-20;02-Sonata per due pianoforti e percussioni - Primo movimento;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 20.902.967
Classica;Bartok Bela;I Maestri della Musica III-20;03-Sonata per due pianoforti e percussioni - Secondo movimento;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 16.490.899
Classica;Bartok Bela;I Maestri della Musica III-20;04-Sonata per due pianoforti e percussioni - Terzo movimento;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.383.587
Classica;Bartok Bela;I Maestri della Musica III-20;05-Suite di Danza;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 8.528.815
Classica;Beethoven Ludwig Van;Herbert von Karajan - Berliner Philharmoniker;01-Symphony No. 5 in DOm, Op. 67 - Allegro con brio;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 9.731.463
Classica;Beethoven Ludwig Van;Herbert von Karajan - Berliner Philharmoniker;02-Symphony No. 5 in DOm, Op. 67 - Andante con moto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 12.748.752
Classica;Beethoven Ludwig Van;Herbert von Karajan - Berliner Philharmoniker;03-Symphony No. 5 in DOm, Op. 67 - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 6.108.881
Classica;Beethoven Ludwig Van;Herbert von Karajan - Berliner Philharmoniker;04-Symphony No. 5 in DOm, Op. 67 - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 12.195.667
Classica;Beethoven Ludwig Van;Herbert von Karajan - Berliner Philharmoniker;05-Symphony No. 6 in FA+, Op. 68 'Pastorale' - Allegro ma non troppo;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 11.497.670
Classica;Beethoven Ludwig Van;Herbert von Karajan - Berliner Philharmoniker;06-Symphony No. 6 in FA+, Op. 68 'Pastorale' - Andante molto mosso;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 14.568.517
Classica;Beethoven Ludwig Van;Herbert von Karajan - Berliner Philharmoniker;07-Symphony No. 6 in FA+, Op. 68 'Pastorale' - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.989.036
Classica;Beethoven Ludwig Van;Herbert von Karajan - Berliner Philharmoniker;08-Symphony No. 6 in FA+, Op. 68 'Pastorale' - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.513.303
Classica;Beethoven Ludwig Van;Herbert von Karajan - Berliner Philharmoniker;09-Symphony No. 6 in FA+, Op. 68 'Pastorale' - Allegretto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 11.697.898
Classica;Beethoven Ludwig Van;I Maestri Della Musica II-1b;01-Sinfonia n.7 in LA+ op.92 Poco sostenuto. vivace;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 18.496.679
Classica;Beethoven Ludwig Van;I Maestri Della Musica II-1b;02-Sinfonia n.7 in LA+ op.92 Allegretto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 12.458.876
Classica;Beethoven Ludwig Van;I Maestri Della Musica II-1b;03-Sinfonia n.7 in LA+ op.92 Presto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 11.085.595
Classica;Beethoven Ludwig Van;I Maestri Della Musica II-1b;04-Sinfonia n.7 in LA+ op.92 Allegro con brio;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 10.900.311
Classica;Beethoven Ludwig Van;I Maestri Della Musica II-1b;05-Sinfonia n.8 in FA+ op.93 Allegro vivace e con brio;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 11.202.775
Classica;Beethoven Ludwig Van;I Maestri Della Musica II-1b;06-Sinfonia n.8 in FA+ op.93 Allegretto scherzando;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 5.888.104
Classica;Beethoven Ludwig Van;I Maestri Della Musica II-1b;07-Sinfonia n.8 in FA+ op.93 Tempo di minuetto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.836.726
Classica;Beethoven Ludwig Van;I Maestri Della Musica II-1b;08-Sinfonia n.8 in FA+ op.93 Allegro vivace;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 10.677.866
